"","id","price_day","f_property_type","f_neighbourhood","n_accommodates","n_bathrooms","n_minimum_nights","n_beds","n_review_scores_rating","n_number_of_reviews","n_bedrooms","d_instant_bookable","d_wifi","d_refrigerator","d_air_conditioning","d_baby","d_beach","d_stove","d_free_parking","d_office","d_coffee_maker","d_garden","d_gym"
"1",27271,999,"rental","Beyoglu",2,1,10,1,5,4,1,"f","1","1","0","0","0","1","0","0","1","0","1"
"2",28277,1778,"apartment","Sisli",5,1,10,2,5,8,1,"f","1","1","1","0","0","0","0","0","0","0","0"
"3",28318,2339,"rental","Sariyer",2,1,3,2,4.83,0,2,"f","1","0","0","0","0","0","1","0","0","0","0"
"4",39221,2807,"rental","Fatih",6,1,7,6,5,3,3,"f","0","1","0","0","0","0","0","0","0","0","0"
"5",41753,1578,"rental","Beyoglu",4,1,5,2,4.58,47,2,"f","1","1","0","0","0","1","0","0","1","0","0"
"6",44429,1598,"rental","Beyoglu",3,1,4,1,5,26,1,"t","1","1","1","0","0","1","0","0","1","0","0"
"7",48346,1793,"rental","Uskudar",4,1.5,3,2,4.84,25,1,"f","1","1","1","0","0","0","0","0","1","0","0"
"8",52828,1578,"rental","Beyoglu",4,1,5,2,4.77,28,2,"f","1","1","0","0","0","1","0","0","1","0","0"
"9",73477,1099,"rental","Beyoglu",2,1,10,2,5,5,1,"f","1","1","0","0","0","0","0","0","0","0","0"
"10",77292,3995,"rental","Beyoglu",6,2,3,4,4.5,12,3,"f","1","1","1","0","0","0","0","0","0","0","0"
"11",127912,1613,"rental","Beyoglu",5,1,6,2,4.55,29,2,"t","1","1","0","1","0","1","0","0","1","0","0"
"12",130231,986,"rental","Beyoglu",4,1,3,2,4.59,59,2,"f","1","1","0","0","0","1","0","0","1","0","0"
"13",133148,2807,"rental","Kagithane",2,1,2,2,4.83,0,1,"f","1","0","1","0","0","0","1","0","0","0","0"
"14",139804,1310,"rental","Kadikoy",4,1,4,2,5,8,2,"f","1","0","0","0","0","0","0","0","0","0","0"
"15",140269,1170,"rental","Beyoglu",6,1,3,5,4.44,129,2,"t","1","0","1","0","0","0","0","0","0","0","0"
"16",162180,2620,"rental","Beyoglu",4,1,6,4,5,1,1,"f","1","0","1","0","0","0","0","0","0","0","0"
"17",164216,1898,"rental","Beyoglu",6,1,2,2,4.3,36,2,"f","1","0","1","0","0","0","0","0","0","0","0"
"18",166265,1147,"rental","Beyoglu",4,1,3,2,4.51,191,2,"t","1","1","1","0","0","1","0","0","1","0","0"
"19",169106,1938,"rental","Maltepe",2,2,3,2,4.83,0,1,"f","1","0","0","0","0","0","1","0","0","0","1"
"20",170150,1123,"rental","Uskudar",4,1,30,3,4.86,95,1,"t","1","1","0","1","0","1","0","0","0","1","0"
"21",171593,2807,"rental","Beyoglu",4,1,7,1,4,3,1,"f","1","0","0","0","0","0","0","0","0","0","0"
"22",183804,1967,"rental","Beyoglu",3,1,3,1,4.9,94,1,"f","1","1","1","0","0","0","0","0","0","0","0"
"23",199411,799,"rental","Beyoglu",3,1,3,1,4.88,102,1,"f","1","1","1","0","0","0","0","0","0","0","0"
"24",213816,1551,"rental","Kadikoy",4,1,3,3,4.84,46,3,"f","1","1","0","0","1","1","0","0","1","1","0"
"25",220131,829,"rental","Beyoglu",3,1,30,1,4.64,83,1,"f","1","1","1","0","0","0","0","0","0","0","0"
"26",220149,1578,"rental","Beyoglu",4,1,5,2,4.5,9,2,"f","1","1","0","0","0","1","1","0","1","0","0"
"27",222535,1395,"rental","Uskudar",3,1,3,1,4.73,32,1,"f","1","1","0","0","0","1","0","0","1","0","0"
"28",224910,1998,"rental","Basaksehir",4,NA,1,4,4.83,0,2,"f","0","0","0","0","0","0","0","0","0","0","0"
"29",226255,1578,"rental","Beyoglu",4,1,5,2,4.4,11,2,"f","1","1","0","0","0","0","0","0","1","0","0"
"30",229498,1401,"rental","Beyoglu",2,1,4,1,4.72,114,1,"f","1","1","1","0","0","1","0","0","1","0","0"
"31",247874,588,"rental","Beyoglu",5,1.5,2,1,4.65,197,1,"f","1","1","1","0","0","1","0","0","0","0","0"
"32",253055,3139,"rental","Beyoglu",5,1,3,4,4.59,86,3,"t","1","1","0","0","0","1","0","0","1","0","0"
"33",259206,842,"rental","Sisli",5,1,2,4,4.56,39,4,"f","1","1","1","0","0","0","0","0","1","0","0"
"34",260378,2891,"rental","Beyoglu",6,2,2,3,4.78,143,2,"t","1","1","1","1","0","1","0","0","1","0","0"
"35",270883,999,"rental","Fatih",3,1,7,3,4.83,0,3,"f","1","0","0","0","0","0","0","0","0","0","0"
"36",271439,850,"rental","Beyoglu",3,1,1,2,4.69,155,1,"f","1","1","1","0","0","0","0","0","0","0","0"
"37",274454,3396,"rental","Beyoglu",4,1.5,30,1,4.83,0,1,"f","1","0","1","0","0","0","0","0","0","0","1"
"38",280227,1853,"rental","Kadikoy",4,1,4,2,4.83,0,3,"f","1","0","1","0","0","0","1","0","0","0","0"
"39",282148,2312,"apartment","Beyoglu",3,1,3,2,4.89,96,2,"f","1","0","0","1","0","1","0","0","1","0","0"
"40",282266,2140,"apartment","Beyoglu",3,1,3,2,4.92,53,1,"f","1","1","0","1","0","1","0","0","1","0","0"
"41",282289,2255,"apartment","Beyoglu",3,1,3,2,4.94,120,2,"f","1","1","0","1","0","0","0","0","1","0","0"
"42",282295,1884,"apartment","Beyoglu",2,1,3,1,4.89,112,1,"f","1","0","0","1","0","1","0","0","1","0","0"
"43",284093,2957,"rental","Beyoglu",6,2,2,3,4.65,150,2,"f","1","1","0","0","0","1","0","0","1","1","0"
"44",297040,3995,"rental","Beyoglu",3,1.5,1,1,4.83,0,1,"f","1","0","1","0","0","0","0","0","0","0","1"
"45",304011,1456,"rental","Beyoglu",4,1.5,28,2,4.63,25,2,"f","1","1","0","0","0","1","1","0","0","0","0"
"46",324576,2977,"rental","Fatih",4,1,1,3,5,2,1,"t","1","1","0","0","0","1","0","0","1","0","0"
"47",341852,839,"rental","Beyoglu",3,1,2,2,4.46,28,1,"f","1","1","0","0","0","1","0","0","1","0","0"
"48",362196,1187,"rental","Beyoglu",4,1,3,2,4.63,127,1,"t","1","1","1","0","0","1","0","0","1","0","0"
"49",371112,1484,"rental","Beyoglu",6,1.5,2,4,4.83,87,2,"f","1","1","1","0","0","1","1","0","1","0","0"
"50",374837,1056,"rental","Beyoglu",3,1,2,2,4.74,134,1,"f","1","1","0","0","0","1","0","0","0","0","0"
"51",398075,773,"rental","Beyoglu",2,1,2,2,4.69,94,1,"f","1","1","0","0","0","1","0","0","0","0","0"
"52",412766,3176,"rental","Beyoglu",6,1,3,3,4.9,86,2,"f","1","1","1","0","0","1","0","0","1","0","0"
"53",422071,1299,"rental","Beyoglu",4,1,2,2,4.58,63,1,"f","1","1","1","0","0","1","0","0","1","0","0"
"54",430954,862,"apartment","Beyoglu",2,1,4,1,4.68,57,1,"f","1","1","1","0","0","1","0","0","0","0","0"
